xline_all_values,yline_all_values,X_all_values,obj1,obj2,obj3,inc
248.4920826948832,9.908486805660755e-06,"[4.755329641959911, 2.0412090993894916, 9.138117954220233, 3.1672603325507134, 8.347724211920282, 0.7897035278391983, 0.8138147886533015]",248.4920826948832,9.908486805660755e-06,8158438.989473761,0
250.50699394983843,9.869409755811272e-06,"[8.571175644813279, 2.8442961475906454, 4.349374462765316, 1.7902789838591755, 0.8150146406335497, 0.798745553149062, 0.7388982560965133]",250.50699394983843,9.869409755811272e-06,8343863.795904148,0
252.71940483084347,9.809468216985745e-06,"[8.277155541622033, 9.491712755073747, 9.169418338836824, 3.076406514192824, 2.333371408283401, 0.07797521553522724, 0.23070987559181433]",252.71940483084347,9.809468216985745e-06,6198768.675053707,0
253.888521069205,9.761099383243917e-06,"[8.37419597656854, 2.745844725693857, 4.706438335589497, 6.284119469498669, 1.6175047492778927, 0.27825376438825444, 0.42202447434155976]",253.888521069205,9.761099383243917e-06,5974918.231810225,0
251.35288989193418,9.825683376924312e-06,"[np.float64(5.698248734621728), np.float64(4.333115144286943), np.float64(6.199872991101904), np.float64(4.083498667240263), np.float64(6.844035511130153), np.float64(0.3801117915190062), np.float64(0.35208958220295355)]",251.35288989193418,9.825683376924312e-06,6764708.190613722,0
256.6100330566061,9.675032104230039e-06,"[np.float64(1.6236522954717993), np.float64(7.780512188723005), np.float64(8.906032152087265), np.float64(6.835255389282137), np.float64(1.6527999741003017), np.float64(0.15293205084722306), np.float64(0.03240565333551537)]",256.6100330566061,9.675032104230039e-06,2525813.71933023,0
247.20285469955374,9.956783968966948e-06,"[4.74199743309555, 1.8208912044449996, 9.47401065596954, 0.7353468393678924, 4.984699784692467, 0.3871925459843406, 0.2956652491849404]",247.20285469955374,9.956783968966948e-06,9686119.4154096,0
258.21124568094933,9.65154367109148e-06,"[0.1, 10, 10, np.float64(9.003147015033859), np.float64(2.2186316868814426), np.float64(0.3347804703001247), np.float64(0.2286881288733793)]",258.21124568094933,9.65154367109148e-06,2345453.1337974714,0
261.57431653537986,9.642035758845361e-06,"[0.7990557747048161, 8.203048917365495, 9.497742043567445, 4.101703332817076, 5.653900465199545, 0.8043044943170734, 0.3459029592756959]",261.57431653537986,9.642035758845361e-06,3188288.1189024816,0
258.537968001507,9.64358483006467e-06,"[np.float64(5.888567696544684), np.float64(2.3513258260603447), np.float64(5.713598578763785), np.float64(9.280158114929785), np.float64(0.9900789653521117), np.float64(0.4324398210217426), np.float64(0.67882851332436)]",258.537968001507,9.64358483006467e-06,3742814.760000093,0
