xline_all_values,yline_all_values,X_all_values,obj1,obj2,obj3,inc
244.3494191918757,1.0082108244811988e-05,"[np.float64(2.8631803984184407), np.float64(0.10392513181029692), 10, 0.1, 10, 1, 1]",244.3494191918757,1.0082108244811988e-05,30994261.883460063,0
243.05844863770227,1.0320146076880958e-05,"[10, 0.1, np.float64(1.7544549167448134), 0.1, np.float64(0.33590915727238446), np.float64(0.9805327073712377), np.float64(0.9396058362464844)]",243.05844863770227,1.0320146076880958e-05,44704755.06605204,0
246.19775107081728,1.0000619851269551e-05,"[np.float64(3.969641029452976), np.float64(1.4317177325670025), 10, np.float64(0.27373628646808434), np.float64(6.961220973293675), np.float64(0.6719432533615648), np.float64(0.6125250138723077)]",246.19775107081728,1.0000619851269551e-05,16341301.797979282,0
255.44292061821488,9.686669392089178e-06,"[0.1, np.float64(6.451805316409929), np.float64(7.920248526778192), np.float64(8.482435339462636), np.float64(6.8909705383836135), np.float64(0.740432501871874), np.float64(0.774280000296553)]",255.44292061821488,9.686669392089178e-06,3267382.338716402,0
249.8470509758692,9.854588458238193e-06,"[np.float64(2.827816570531324), np.float64(2.898566493816425), np.float64(8.978793963275221), np.float64(4.131182463759798), np.float64(8.652766172773442), np.float64(0.8913872141166783), np.float64(0.9036920605888535)]",249.8470509758692,9.854588458238193e-06,6006279.854570288,0
255.09161548906283,9.70072347529126e-06,"[np.float64(2.469713695885336), np.float64(6.740793472201082), np.float64(8.687370554142825), np.float64(6.790444696522146), np.float64(3.3933853884656093), np.float64(0.31519618868206956), np.float64(0.24551608053518548)]",255.09161548906283,9.70072347529126e-06,3038406.3061273787,0
257.007700553949,9.656694068030538e-06,"[np.float64(2.1277442092973065), np.float64(8.186747133405511), np.float64(8.15205641002597), np.float64(8.66832798020984), np.float64(2.4937011899987795), np.float64(0.2252576951553968), np.float64(0.16259746366261976)]",257.007700553949,9.656694068030538e-06,2750566.972171593,0
251.6469247043504,9.79655077758223e-06,"[np.float64(4.4171202424062725), np.float64(3.8210177520793493), np.float64(8.50245963663005), np.float64(5.899221321320195), np.float64(6.180119039324433), np.float64(0.5738141378836338), np.float64(0.5756238723212754)]",251.6469247043504,9.79655077758223e-06,4974993.668637465,0
258.21554332246285,9.637887489590775e-06,"[np.float64(1.566025852656415), np.float64(9.074904744803685), np.float64(8.230119402223432), np.float64(9.114986936592867), np.float64(1.3593452833532036), np.float64(0.11682394295470318), np.float64(0.021039843042333455)]",258.21554332246285,9.637887489590775e-06,2475856.2380395522,0
257.41367884335443,9.647881503974467e-06,"[np.float64(2.127749497314155), np.float64(8.543821909053296), np.float64(7.984918845222043), np.float64(9.384486908877635), np.float64(2.474015155021287), np.float64(0.2187154232541096), np.float64(0.16037746573793515)]",257.41367884335443,9.647881503974467e-06,2745091.885118466,0
247.29352530429622,9.949781378001821e-06,"[np.float64(4.4512848868008525), np.float64(1.7210896541723337), np.float64(9.611463896655682), np.float64(1.8907279622785738), np.float64(7.823956031327006), np.float64(0.7459624389362622), np.float64(0.7358065279888143)]",247.29352530429622,9.949781378001821e-06,9345649.814395672,0
248.90199169298003,9.888412593846164e-06,"[np.float64(2.820075349840101), np.float64(2.3785659917561506), np.float64(9.20418364352734), np.float64(3.3213092096117816), np.float64(8.897441679523785), np.float64(0.9310379245551325), np.float64(0.9389615628947814)]",248.90199169298003,9.888412593846164e-06,6848826.462402735,0
254.55773275526352,9.715345970571206e-06,"[np.float64(2.2947738983339314), np.float64(6.383276461130029), np.float64(9.013462604271126), np.float64(5.704302303107291), np.float64(3.1116321405191876), np.float64(0.29283230839700214), np.float64(0.21673779639860447)]",254.55773275526352,9.715345970571206e-06,2982521.2676228625,0
245.10459212017656,1.0051659669219661e-05,"[np.float64(4.120649387005973), np.float64(0.9079113487146353), 10, 0.1, np.float64(9.883192045762557), np.float64(0.9576648526451588), np.float64(0.9669499881521285)]",245.10459212017656,1.0051659669219661e-05,30108103.04679717,0
253.9615144097086,9.728693162902103e-06,"[np.float64(3.0257884475374612), np.float64(5.877994993722101), np.float64(8.813371826037478), np.float64(6.11369328608172), np.float64(3.846085994585831), np.float64(0.35813879541512517), np.float64(0.2995610725685023)]",253.9615144097086,9.728693162902103e-06,3349367.1751589663,0
251.2386292684312,9.803735667976464e-06,"[np.float64(5.07875758551035), np.float64(5.36109970682859), 10, np.float64(4.456919479636736), np.float64(6.153215412012459), np.float64(0.5907544092363988), np.float64(0.5634182170012404)]",251.2386292684312,9.803735667976464e-06,4723295.375051962,0
249.33655141714928,9.87224095682878e-06,"[np.float64(3.718574725725222), np.float64(3.0395790482018867), np.float64(9.571345915489434), np.float64(2.703661305304136), np.float64(6.262290365889047), np.float64(0.5976541874893944), np.float64(0.5530959568439486)]",249.33655141714928,9.87224095682878e-06,5709068.126263132,0
245.30069566222286,1.0039733932970278e-05,"[np.float64(4.9089258453187385), np.float64(0.5255155681304418), np.float64(9.795790170271088), np.float64(0.690595147741538), np.float64(8.709237568031298), np.float64(0.8258944684156291), np.float64(0.8287884647156974)]",245.30069566222286,1.0039733932970278e-05,20335402.606774155,0
244.84051627475836,1.0061574907790794e-05,"[np.float64(3.5858629178517836), np.float64(0.34603919380087333), 10, np.float64(0.3672454610869642), 10, 1, 1]",244.84051627475836,1.0061574907790794e-05,25463038.565458115,0
252.29486938520347,9.773858494176223e-06,"[np.float64(3.410701828215389), np.float64(4.812275684023479), np.float64(8.86448746925889), np.float64(5.313131678381572), np.float64(5.427441630718782), np.float64(0.509749115216637), np.float64(0.47883278338373525)]",252.29486938520347,9.773858494176223e-06,4090535.972070825,0
253.52197004056364,9.740248090282904e-06,"[np.float64(2.993226831098352), np.float64(5.654008730644415), np.float64(8.807114264307083), np.float64(5.944729521648943), np.float64(4.571466719422985), np.float64(0.43002312960156885), np.float64(0.38154615056305635)]",253.52197004056364,9.740248090282904e-06,3554933.040529432,0
244.6658555029783,1.0071401464523637e-05,"[np.float64(4.492641951516545), np.float64(0.24802452184290757), 10, 0.1, np.float64(7.812838385923426), np.float64(0.7405521242935662), np.float64(0.7003878710585449)]",244.6658555029783,1.0071401464523637e-05,29857234.950102158,0
252.63398924941225,9.770150660848992e-06,"[np.float64(2.603430944433602), np.float64(5.043702097610927), np.float64(9.470446025890151), np.float64(3.936163443179691), np.float64(3.7696805422396586), np.float64(0.3555124682748486), np.float64(0.2586502175462078)]",252.63398924941225,9.770150660848992e-06,3440184.4568251977,0
