xline_all_values,yline_all_values,X_all_values,obj1,obj2,obj3,inc
244.28694440731937,1.0081053661588394e-05,"[np.float64(0.16992334627611605), 0.1, 10, 0.1, 10, np.float64(0.9890313190722773), np.float64(0.990403315394)]",244.28694440731937,1.0081053661588394e-05,29062067.56673878,0
243.7547706223378,1.0283589652871448e-05,"[np.float64(9.322395173135462), 0.1, np.float64(1.8651734966665021), 0.1, np.float64(0.4289357718481792), 1, np.float64(0.9759399731287903)]",243.7547706223378,1.0283589652871448e-05,41890240.24703562,0
243.742276071366,1.0300170439080546e-05,"[10, np.float64(0.6508663008215801), np.float64(1.0675883121453351), 0.1, 0.1, np.float64(0.9578267953113956), np.float64(0.8871115678312295)]",243.742276071366,1.0300170439080546e-05,52125434.72201484,0
247.04221143571667,9.959922517344434e-06,"[np.float64(1.173637571743292), np.float64(1.2041455768398874), np.float64(9.692401592508768), np.float64(1.9821194832161564), np.float64(9.851232342293999), 1, 1]",247.04221143571667,9.959922517344434e-06,9415357.530494248,0
253.6283243172483,9.740285823526805e-06,"[np.float64(2.58927573241023), np.float64(5.700494394230998), np.float64(9.148193920000557), np.float64(5.126711118624096), np.float64(3.7449824066196733), np.float64(0.35329071230090714), np.float64(0.27022376486053423)]",253.6283243172483,9.740285823526805e-06,3267400.0007020063,0
253.18563558316114,9.750148247096805e-06,"[np.float64(3.3700726706619766), np.float64(5.218285278347277), np.float64(8.741117882920122), np.float64(5.964113915084531), np.float64(4.560068397045839), np.float64(0.4215251055593129), np.float64(0.3767665489989028)]",253.18563558316114,9.750148247096805e-06,3730068.739645423,0
246.22959456308638,9.997600615028403e-06,"[np.float64(4.747567632591013), np.float64(0.8952399879422597), np.float64(9.792399844117442), np.float64(1.456946971793612), np.float64(8.495514701431672), np.float64(0.8116768463390389), np.float64(0.8086865762237896)]",246.22959456308638,9.997600615028403e-06,13858928.407532355,0
243.05844863770227,1.0320146076880958e-05,"[10, 0.1, np.float64(1.7544549167448134), 0.1, np.float64(0.33590915727238446), np.float64(0.9805327073712377), np.float64(0.9396058362464844)]",243.05844863770227,1.0320146076880958e-05,44704755.06605204,0
258.5519564172171,9.625819693156416e-06,"[np.float64(1.8268429233822596), np.float64(9.702180655030087), np.float64(7.626238006612707), 10, np.float64(1.7621301295197282), np.float64(0.14767653667862643), np.float64(0.08941350670584484)]",258.5519564172171,9.625819693156416e-06,2589971.270360457,0
245.10459212017656,1.0051659669219661e-05,"[np.float64(4.120649387005973), np.float64(0.9079113487146353), 10, 0.1, np.float64(9.883192045762557), np.float64(0.9576648526451588), np.float64(0.9669499881521285)]",245.10459212017656,1.0051659669219661e-05,30108103.04679717,0
247.80784897795468,9.929306436123275e-06,"[np.float64(4.09410651958198), np.float64(2.1801439087815595), np.float64(9.520440267670192), np.float64(2.1429751953375673), np.float64(8.288958120633453), np.float64(0.7946485208215779), np.float64(0.7951277406855857)]",247.80784897795468,9.929306436123275e-06,8366682.145604738,0
257.41367884335443,9.647881503974467e-06,"[np.float64(2.127749497314155), np.float64(8.543821909053296), np.float64(7.984918845222043), np.float64(9.384486908877635), np.float64(2.474015155021287), np.float64(0.2187154232541096), np.float64(0.16037746573793515)]",257.41367884335443,9.647881503974467e-06,2745091.885118466,0
258.175383901092,9.634515003300794e-06,"[np.float64(1.7492093637466262), np.float64(9.30474867591627), np.float64(8.001552869847336), np.float64(9.661287705554658), np.float64(1.8876016469260821), np.float64(0.17331068646937797), np.float64(0.10065416303497143)]",258.175383901092,9.634515003300794e-06,2582929.0024322663,0
255.98238220688313,9.683267544661805e-06,"[np.float64(1.964275887722163), np.float64(7.385221067749495), np.float64(8.812243036420785), np.float64(6.792353683954362), np.float64(2.377938164440988), np.float64(0.22176616163515528), np.float64(0.11624255648938447)]",255.98238220688313,9.683267544661805e-06,2714632.78345351,0
249.6254272140429,9.859329015047688e-06,"[np.float64(3.922263397126776), np.float64(3.208028272301549), np.float64(9.265783632923316), np.float64(3.41900940727093), np.float64(7.006562631775505), np.float64(0.6644641867337236), np.float64(0.6518451883104888)]",249.6254272140429,9.859329015047688e-06,5781710.843359025,0
251.70896056248702,9.792347692193371e-06,"[np.float64(3.3839176320381483), np.float64(4.461309272650533), np.float64(9.089248269304653), np.float64(4.56285146387), np.float64(5.429513284505752), np.float64(0.5127995638605569), np.float64(0.47142220767500936)]",251.70896056248702,9.792347692193371e-06,4231159.820649933,0
256.954563284172,9.655976810678444e-06,"[np.float64(2.2863424234190113), np.float64(8.324533360195558), np.float64(7.962244762883882), np.float64(8.836562280355139), np.float64(2.8194145610239842), np.float64(0.2518490744442988), np.float64(0.20246462005712967)]",256.954563284172,9.655976810678444e-06,2836733.861452288,0
257.72587287947164,9.640209241887457e-06,"[np.float64(2.1841674287726054), np.float64(8.970597080389549), np.float64(7.72781641970758), 10, np.float64(2.6159812942651612), np.float64(0.23310382401263816), np.float64(0.18949839685237996)]",257.72587287947164,9.640209241887457e-06,2778280.966646524,0
