xline_all_values,yline_all_values,X_all_values,obj1,obj2,obj3,inc
257.4743486807,9.654671265502686e-06,"[0.1, np.float64(3.5043966341102846), np.float64(4.383649533444531), np.float64(7.856324505436489), np.float64(3.801592042347117), np.float64(0.5600530962981893), np.float64(0.6338979165037002)]",257.4743486807,9.654671265502686e-06,3315935.1750441436,0
260.49559862968135,9.594566712810976e-06,"[0.1, np.float64(4.334472463041909), np.float64(3.8875962899802743), np.float64(9.380759064781433), np.float64(2.472797316595069), np.float64(0.6667046201494414), np.float64(0.81113205470304)]",260.49559862968135,9.594566712810976e-06,2824683.9307753257,0
245.24096810889026,1.0040957309704529e-05,"[0.1, 0.1, 10, np.float64(1.0273360456698435), np.float64(9.950785479179709), np.float64(0.004028019497660764), 0]",245.24096810889026,1.0040957309704529e-05,26804469.561039284,0
245.85404353154783,1.001633059706607e-05,"[np.float64(2.109336469930811), 0.1, 10, np.float64(1.802621697500807), 10, 0, 0]",245.85404353154783,1.001633059706607e-05,26995388.937016636,0
261.4981886352423,9.570569528966913e-06,"[0.1, np.float64(4.257411596377352), np.float64(3.572312917207717), np.float64(9.063231876703433), np.float64(2.54080769561198), np.float64(0.5836486864751129), np.float64(0.7997059809308957)]",261.4981886352423,9.570569528966913e-06,2766082.268603874,0
263.15733066433603,9.548654523112798e-06,"[0.1, np.float64(4.572389545411905), np.float64(2.066314815987735), np.float64(9.24160455527093), np.float64(1.9107700128429979), np.float64(0.6292074450157559), np.float64(0.8612913020801115)]",263.15733066433603,9.548654523112798e-06,2749650.783816861,0
262.49600364524383,9.552738297831587e-06,"[0.1, np.float64(4.102235081646345), np.float64(2.2550408201915353), np.float64(8.29533717976238), np.float64(2.637350881849421), np.float64(0.5075104795239138), np.float64(0.765951666163539)]",262.49600364524383,9.552738297831587e-06,2868736.8328721398,0
258.2585739598979,9.631840630470757e-06,"[0.1, np.float64(3.16764201204249), np.float64(4.046762788575485), np.float64(6.954608532262143), np.float64(4.251591932139344), np.float64(0.38406179489974196), np.float64(0.5715821026350496)]",258.2585739598979,9.631840630470757e-06,3315547.0801534555,0
264.94084375647503,9.541087221626267e-06,"[np.float64(0.7517323801830078), np.float64(7.02588151378061), np.float64(0.46323928193118746), 10, 0.1, 1, 1]",264.94084375647503,9.541087221626267e-06,2663904.627818124,0
256.4844102449696,9.671175712127099e-06,"[np.float64(0.35885896031718456), np.float64(3.0620031778485433), np.float64(5.673574291760406), np.float64(7.275471308168374), np.float64(4.5826141865828625), np.float64(0.4095649023462599), np.float64(0.5517686247961079)]",256.4844102449696,9.671175712127099e-06,3353653.0734594185,0
261.76469127256536,9.568026828384817e-06,"[0.1, np.float64(4.418469196785542), np.float64(3.5324877063136713), np.float64(9.390537898267679), np.float64(2.2928983559481075), np.float64(0.6203082942234591), np.float64(0.8329081399626477)]",261.76469127256536,9.568026828384817e-06,2721886.4952492537,0
255.8553007993085,9.687012983533045e-06,"[0.1, np.float64(2.8905676704090486), np.float64(4.918006646678896), np.float64(6.7181017792093325), np.float64(4.780780497072909), np.float64(0.4110606690290364), np.float64(0.509690220154878)]",255.8553007993085,9.687012983533045e-06,3615813.0524512557,0
246.26527876859637,1.0002904048449939e-05,"[np.float64(1.9936096889767652), 0.1, np.float64(9.312125123157296), np.float64(2.1695107383859638), np.float64(9.765426734223729), 0, 0]",246.26527876859637,1.0002904048449939e-05,26894334.068597995,0
248.44714656569005,9.9079605708529e-06,"[np.float64(8.594271192889456), np.float64(1.3567133170564523), 10, np.float64(3.8574110964228225), np.float64(4.458354407958168), 0, np.float64(0.1851934083437022)]",248.44714656569005,9.9079605708529e-06,8759053.689037224,0
244.6808139862535,1.0063277493018918e-05,"[0.1, 0.1, 10, np.float64(0.47058702167707706), 10, np.float64(0.02623825754861532), np.float64(0.028111519337578834)]",244.6808139862535,1.0063277493018918e-05,25324123.184646625,0
248.67171617295165,9.89490546142854e-06,"[np.float64(6.592644080817819), np.float64(1.4826100922407597), 10, np.float64(3.5429928613467), np.float64(4.652859354833194), 0, np.float64(0.21520847887939507)]",248.67171617295165,9.89490546142854e-06,7270435.324096643,0
255.40001322133898,9.696134085493986e-06,"[np.float64(1.3094888283348356), np.float64(3.118909960756447), np.float64(6.0775705943942375), np.float64(7.489509686084151), np.float64(4.69827923446983), np.float64(0.40173626973004706), np.float64(0.5111632113779714)]",255.40001322133898,9.696134085493986e-06,3707327.088107454,0
258.85308713505185,9.625932101035848e-06,"[0.1, np.float64(3.8930734162389227), np.float64(4.0914267068942625), np.float64(8.558136631658744), np.float64(3.175622375278762), np.float64(0.6172041046047626), np.float64(0.7160123559304362)]",258.85308713505185,9.625932101035848e-06,3073540.6486621196,0
