xline_all_values,yline_all_values,X_all_values,obj1,obj2,obj3,inc
255.04103725323552,9.709689743646121e-06,"[np.float64(1.1300469129830815), np.float64(3.0704763991785557), np.float64(5.722881806441994), np.float64(7.382653346996857), np.float64(4.597862864006473), np.float64(0.4903284631597047), np.float64(0.5463551615045372)]",255.04103725323552,9.709689743646121e-06,3876901.9045248176,0
254.29135775765164,9.725733613411414e-06,"[np.float64(1.9745745013237674), np.float64(6.077038866923891), np.float64(5.45073474030011), np.float64(4.563332621310532), np.float64(5.514578322254946), np.float64(0.04969695247536178), np.float64(0.1764066323040637)]",254.29135775765164,9.725733613411414e-06,4271504.939674377,0
244.8998375779151,1.0056614244844136e-05,"[np.float64(1.939893126450442), 0.1, np.float64(9.596959989859432), np.float64(0.6783539468223978), 10, 0, 0]",244.8998375779151,1.0056614244844136e-05,28582567.425915778,0
255.57993136403866,9.692338610548471e-06,"[np.float64(1.1684748031623124), np.float64(3.0010780389914524), np.float64(5.186597212232955), np.float64(7.027875680455835), np.float64(4.637467204961197), np.float64(0.4298420918315901), np.float64(0.5342064092685448)]",255.57993136403866,9.692338610548471e-06,3843264.8339661364,0
253.05869858553268,9.755230275910906e-06,"[np.float64(2.2277473486293924), np.float64(4.521324216341187), np.float64(5.994835627826367), np.float64(4.666836609744654), np.float64(6.008844548305051), np.float64(0.08972857708932394), np.float64(0.2172047216243074)]",253.05869858553268,9.755230275910906e-06,4527569.689944138,0
256.05149241439113,9.671671966140106e-06,"[0.1, np.float64(8.04928961461525), np.float64(7.139417576673264), np.float64(7.453971010204506), np.float64(6.446641817444822), 1, np.float64(0.9958852722889168)]",256.05149241439113,9.671671966140106e-06,3214189.2025222974,0
262.49600364524383,9.552738297831587e-06,"[0.1, np.float64(4.102235081646345), np.float64(2.2550408201915353), np.float64(8.29533717976238), np.float64(2.637350881849421), np.float64(0.5075104795239138), np.float64(0.765951666163539)]",262.49600364524383,9.552738297831587e-06,2868736.8328721398,0
247.1292346028788,9.964200907836854e-06,"[np.float64(2.658020038600565), np.float64(0.5249676958891287), np.float64(9.03668949851616), np.float64(2.6879443797256686), np.float64(8.858413871760945), np.float64(0.032745656682550396), np.float64(0.08026109911169015)]",247.1292346028788,9.964200907836854e-06,14396992.915280767,0
260.56004894495464,9.586842735488272e-06,"[np.float64(1.0246857484893936), np.float64(3.691398005809222), np.float64(3.6620913878159955), np.float64(8.42023197093142), np.float64(2.814993445739545), np.float64(0.44241695414388454), np.float64(0.6771796203777638)]",260.56004894495464,9.586842735488272e-06,3050891.136509432,0
250.56839583923065,9.830831214716292e-06,"[np.float64(1.4120344671911629), np.float64(2.4816809357896132), np.float64(6.844682989013165), np.float64(3.7662405954938816), np.float64(7.392410742696436), np.float64(0.0441254898615428), np.float64(0.16203072468202454)]",250.56839583923065,9.830831214716292e-06,5550938.8083547875,0
257.4146939779799,9.651794204592226e-06,"[np.float64(0.5961025953891501), np.float64(2.938228600322859), np.float64(4.100756810041623), np.float64(6.898426642374091), np.float64(4.470370002233628), np.float64(0.2987185207508478), np.float64(0.4905248120682955)]",257.4146939779799,9.651794204592226e-06,3636295.737111962,0
245.24096810889026,1.0040957309704529e-05,"[0.1, 0.1, 10, np.float64(1.0273360456698435), np.float64(9.950785479179709), np.float64(0.004028019497660764), 0]",245.24096810889026,1.0040957309704529e-05,26804469.561039284,0
256.7776316614768,9.664872321524054e-06,"[np.float64(1.245001003146542), np.float64(3.4673931288095607), np.float64(5.007964201096443), np.float64(7.971528863697377), np.float64(3.9184277275458848), np.float64(0.5252456115078121), np.float64(0.6285544196554482)]",256.7776316614768,9.664872321524054e-06,3530385.732578836,0
246.80627285075613,9.981434956953757e-06,"[np.float64(1.8619136873928825), np.float64(0.1831533771794982), np.float64(9.357487989397661), np.float64(2.718959241957144), np.float64(9.461016889625997), np.float64(0.04236277556085366), np.float64(0.0382412878662457)]",246.80627285075613,9.981434956953757e-06,22850682.260981765,0
