Mass/ECT [m^-1],Mass/FCT [mm^2/Pa],d1 [mm],d2 [mm],d3 [mm],d4 [mm],d5 [mm],X5,X6,w1,w2,r1 [mm],r2 [mm],ECT [m^3 x 10^-6],Mass [mm^2],FCT [Pa],Inc_bin
246.1803687211214,1.0005412262706896e-05,2.714448673512629,0.1,10.0,2.230125126216315,9.940628541665314,0.0,0.0,1.0,1.0,3.7879062079748933,3.9195367584145937,246.1803687211214,1.0005412262706896e-05,27227532.445526488,0
261.4084348362285,9.574931110888939e-06,0.1,4.371710887432835,3.4864169830423264,9.296897255687625,2.3653064131272554,0.6311178267325869,0.8211467323311656,4.3490217295474585,20.17806588200739,0.7402681957704227,0.7402681957704227,261.4084348362285,9.574931110888939e-06,2771662.5538629266,0
260.3376914923287,9.591579418017433e-06,0.6924130089884164,3.657662149787858,3.069293233792669,8.04581583278659,3.147003637385602,0.423664283324289,0.6363335563707524,1.4909702482516023,4.513596466750908,1.0384616830108264,1.9579932855584117,260.3376914923287,9.591579418017433e-06,3192886.9690541006,0
263.2274579512663,9.550359217264827e-06,0.1,4.848222532089218,2.726639607732307,10.0,1.5542049795821775,0.683653761301971,0.9217754763483558,6.4281473547087735,49.27222695145637,0.26782402893480295,0.26782402893480295,263.2274579512663,9.550359217264827e-06,2617958.555126376,0
247.61850831538138,9.94390532395791e-06,2.517326704730126,0.7780477606643208,8.770756091160333,2.9331576233312475,8.603056784315818,0.08622536996581304,0.12254046842597044,1.0124105718837126,1.021384892522326,4.363635475481927,4.362549435735676,247.61850831538138,9.94390532395791e-06,11443537.533317577,0
265.8152683231871,9.535925600965712e-06,0.1,6.854137833754922,0.297749690460158,10.0,0.1,1.0,1.0,99.9173343071152,99.9173343071152,0.1675050558670966,0.1675050558670966,265.8152683231871,9.535925600965712e-06,2569747.0856356164,0
262.3587227957844,9.561066752940512e-06,0.8661977307005091,3.520324950196285,2.679524241169389,9.43805716583623,2.2929900975673663,0.365170033510928,0.658109217860567,1.2828701339755808,5.292431889190666,0.5533006431064343,0.6187547713083724,262.3587227957844,9.561066752940512e-06,2976361.039048449,0
256.05149241439113,9.671671966140106e-06,0.1,8.04928961461525,7.139417576673264,7.453971010204506,6.446641817444822,1.0,0.9958852722889168,99.9173343071152,96.2541361490703,6.50545527038263,6.50545527038263,256.05149241439113,9.671671966140106e-06,3214189.2025222974,0
247.30987384235854,9.95621905860255e-06,1.867075091768946,0.5557415520227063,8.942104555715973,2.779519216886661,8.964880597811188,0.047855722657428774,0.09566364131879704,1.0056742950666102,1.0144637152273253,4.203064976089009,4.304387963470656,247.30987384235854,9.95621905860255e-06,13202155.606024297,0
248.14726187350436,9.925316014416972e-06,1.8232846864170413,0.8267685731684643,7.716366887218745,3.0611426125623478,8.321999980383842,0.0,0.10844011479503693,1.0,1.0175418350628018,4.509433441794942,4.619151153029152,248.14726187350436,9.925316014416972e-06,10383700.262026977,0
