xline_all_values,yline_all_values,X_all_values,obj1,obj2,obj3,inc
251.23757937884153,9.824758439905599e-06,"[3.0927065031648464, 7.809453587567908, 9.795218769480359, 2.9664156342441164, 9.89217885787514, 0.13391006235594016, 0.1726891411567606]",251.23757937884153,9.824758439905599e-06,6509899.9193039695,0
254.28682141570263,9.750427349339618e-06,"[0.3152542156653064, 8.818588641331484, 6.265962881787557, 1.2791376654745221, 7.982019123359872, 0.43937402231355094, 0.3079798720370931]",254.28682141570263,9.750427349339618e-06,6717873.1989416685,0
262.2186536506137,9.576714231774541e-06,"[1.9633284261590551, 5.623149666292195, 0.8798118513838403, 8.608310020814901, 1.515012306075992, 0.018415985459912076, 0.38344723897915955]",262.2186536506137,9.576714231774541e-06,3270748.6747502624,0
263.22550826082653,9.517032813603059e-06,"[3.6970842381791855, 8.8447188925814, 1.7051370546763027, 2.4269699393710797, 0.708467296142356, 0.9965104408741473, 0.550600883788622]",263.22550826082653,9.517032813603059e-06,3383629.7769099213,0
249.75019020277287,9.908497383614253e-06,"[6.5068435545758705, 0.3511890406071716, 6.01787985283578, 5.166821332206558, 3.900594948836653, 0.15398011316945281, 0.14365901775458234]",249.75019020277287,9.908497383614253e-06,20891391.569652162,0
253.90666999407128,9.791757634785465e-06,"[6.7394149531447445, 5.7542954133011905, 3.82382191522825, 5.757356748652297, 7.285571301175482, 0.3393621428937449, 0.4356747842447872]",253.90666999407128,9.791757634785465e-06,7476076.60516392,0
250.40718425809584,9.871531962966684e-06,"[9.863664227151713, 4.997211266968763, 9.92792570660063, 3.243164220609226, 4.045395366261676, 0.14990110809702728, 0.31732696138353866]",250.40718425809584,9.871531962966684e-06,7247174.366317763,0
251.49589010184425,9.79807722561888e-06,"[9.63559087643385, 4.163623190170503, 9.607795981049131, 6.049610789943025, 1.5395008706109272, 0.5806206731426652, 0.5973478954388788]",251.49589010184425,9.79807722561888e-06,4757912.180784452,0
263.02620622729506,9.56035992922912e-06,"[1.9182568330617211, 0.7197447290816493, 3.6483257020824613, 9.086356317535763, 1.8092349290153156, 0.25869557457753223, 0.727264002023511]",263.02620622729506,9.56035992922912e-06,3295122.8002209975,0
259.4808779103472,9.666075710418883e-06,"[4.620004741674417, 6.149780345481618, 6.493295970917259, 6.776826080222497, 0.14378599040365517, 0.515545848310336, 0.035868831696531656]",259.4808779103472,9.666075710418883e-06,3382770.413141748,0
254.68996217752155,9.721830720341058e-06,"[2.3796062962137916, 8.788494056100465, 8.795907837917571, 5.464884179879327, 4.8810333405702, 0.2432587500863237, 0.3106927734936521]",254.68996217752155,9.721830720341058e-06,3562550.2838448216,0
257.9057411162099,9.681643616316663e-06,"[2.6137228165346826, 8.554415397617783, 3.7433930858176754, 0.3426793270008455, 3.921472794980376, 0.9762774883601248, 0.7657126490753867]",257.9057411162099,9.681643616316663e-06,9071446.995775742,0
